,text,label
0,"Ersättning från EG-budgeten som utbetalas till Sverige i enlighet med det frivilliga stödsystemet på det fytosanitära området från EU av bl.a. ersättning för förluster till följd av ingripande enligt växtskyddslagen, infrastruktursatsningar, får redovisas som inkomst under anslaget och disponeras för avsedda ändamål.",1
1,Staten företräds vid överläggningarna av Jordbruksverket och rennäringen av Sametinget.,0
2,"- Bidrag får beviljas för sådana kostnader som avses enligt de regler som finns i 2 kap. 14 § lagen (1988:950) om kulturminnen m.m., för ersättning enligt 2 kap. 7, 8 och 15 §§ samma lag samt bidrag enligt 6, 10 och 12 §§ förordningen (1993:379) om bidrag till kulturmiljövård.",0
3,För Riksantikvarieämbetet motsvarar omdisponeringen 56 000 kronor.,1
4,Anslagsposten får användas för stöd som lämnas enligt förordningen (1999:1148) om EG:s förordningar om jordbruksprodukter.,0
5,"- täcka befarade kundförluster vilka härrör från anslagsfinansierad verksamhet t.o.m. budgetåret 1999,",2
6,Högst 1 000 000 kronor får användas för effektuppföljning av verksamheten beträffande biologisk myggkontroll vid Nedre Dalälven.,0
7,Stöd till kommersiell service  4.,0
8,Länsstyrelsen i Jönköpings län skall föra de medel de erhåller från Regionförbundet Jönköpings län mot anslagspost 32:1 Länsstyrelserna m.m. ap.,1
9,Länsstyrelsen i Västra Götalands län skall varje månad utbetala en tolftedel av anslaget till Västra Götalands läns landsting.,1
10,"Per capita-ersättningen för helårsstudenter och helårsprestationer inom de olika utbildningsområdena anges under Gemensamma bestämmelser för universitet och högskolor m.m., avsnittet Ekonomisk redovisning, Verksamhetsgren Grundläggande högskoleutbildning med stödfunktioner punkt 7.",1
11,Anslagsposten får belastas med utgifter för administration av bidrag vid korttidsstudier enligt förordningen (2001:362) om bidrag vid korttidsstudier.,0
12,"Motsvarande det som anges i villkoren 1 och 2, delpost 1 Förvaltningskostnader för AMV, gäller även denna delpost.",1
13,"**För generella villkor för samtliga anslagsposter under 8:1, se anslagsposten 1.",2
14,Sida skall ta ut garantiavgifter samt får bestämma avgifternas storlek och disponera avgiftsinkomsterna.,0
15,Skatteverket skall senast två veckor efter rekvisition betala ut medel till Sveriges Kommuner och Landsting.,1
16,Kursdifferenser på återflöden från EU:s jordbruksfond för landsbygdsutveckling redovisas dock mot inkomsttitel 612206 Kursdifferenser från EU:s jordbruksfond för landsbygdsutveckling.,1
17,EU-medlen skall redovisas mot inkomsttitel 612203 utvecklingssektionen Mål 1 Södra Skogslänsregionen.,1
18,Medel får användas för utvärdering av den gemensamma jordbrukspolitikens miljöeffekter samt för internationellt standardiseringsarbete.,0
19,Anslagsposten får användas för planeringsstöd för vindkraft enligt kommande förordning.,0
20,Anslagsposten får användas för bidrag till projekt inom hemslöjdsområdet.,0
21,"Belopp som avses i 5 och 6 §§ i nämnda avtal skall för bidragsåret 2007 utgöra 48 600 kronor, respektive 13 200 kronor per elev i gymnasieutbildning och 10 500 kronor per elev i grundskoleutbildning.",0
22,Från anslaget utgår ersättning till vissa landsting enligt avtal om samarbete om läkarutbildning och forskning m.m.,0
23,Stipendier för doktorander som är avsedda att vara ett alternativ till lön eller annan form av studiefinansiering får inte finansieras via anslaget.,0
24,Anslagsbeloppet får användas för projekt med arbetsmarknadspolitisk inriktning enligt 31-32 §§ förordningen (2000:634) om arbetsmarknadspolitiska program.,0
25,Från anslagsposten finansieras utgifter som är hänförliga till Migrationsverkets uppdrag att anpassa det datoriserade ärendehanteringssystemet WILMA till det framtida gemensamma europeiska informationssystemet (VIS) samt för de tekniska åtgärder som vidtas för att utlandsmyndigheterna skall kunna utfärda säkrare pass.,0
26,Högst 502 985 000 kronor får användas för den militära underrättelse- och säkerhetstjänsten (MUST) i enlighet med vad regeringen beslutar i hemligt beslut.,0
27,"Från anslagsposten får bidrag betalas ut som avser utbildning av totalförsvarspliktiga, utbildning och utrustning av den särskilda beredskapspolisen, utbildning av chefer för beredskapspolisen, uppdragsersättning till frivilliga försvarsorganisationer, avvecklingskostnader för utrustning och anläggningar, ersättning till Totalförsvarets pliktverk för informationssystemet PLIS, omvärldsbevakning, underhåll av skyddsrum, andningsskydd samt minröjning.",0
28,Medlen får användas för eget och andra aktörers deltagande och aktiviteter i det regionala Barentssamarbetet.,0
29,Boverket disponerar anslagsposten för att täcka administrations- och programanknutna kostnader knutna till stödet enligt förordningen (2005:205) om stöd till investeringar i energieffektivisering och konvertering till förnybara energikällor i lokaler som används för offentlig verksamhet.,0
30,"Anslagsposten ska användas för att stärka myndighetens kompetens inom framtagande, utveckling och användning av modeller för prognoser och utvärderingar.",0
31,Utgångspunkter för val av projekt skall vara förenlighet med regelverket för Kyotoprotokollets flexibla mekanismer.,0
32,Beslut beträffande det nedan angivna ändamålet 7 ska fattas mot tilldelat anslag.,1
33,"7, prop. 1988/89:100 bil.",0
34,"SRF med högst 10 071 000 kronor för sysselsättningsfrämjande verksamhet för synskadade, delaktighetsfrämjande verksamhet för personer med synskada och ytterligare funktionshinder, utgivning av tidningar på tal och i punktskrift, lästjänst via fax samt produktion av material i punktskrift, i enlighet med den inriktning som anges i prop. 1986/87:100 bil.",0
35,Ersättningen utgår enligt art.,1
36,"- nummerupplysningstjänster och förmedlingstjänster för personer med funktionsnedsättning,",2
37,Strategisk energisystemkompetens på Statens energimyndighet,2
38,6 000 000 kronor utbetalas som bidrag till Sveriges geologiska undersökning.,0
39,17 000 000 kronor utbetalas till de länsstyrelser som är vattenmyndigheter.,0
40,För utgifter i enlighet med arbetet att utforma och fastställa nationella prov i svenskundervisning för invandrare får Skolverket belasta anslagsposten med högst 4 000 000 kronor.,0
41,Från anslagsposten ska 20 miljoner kronor användas till sekreteriatet för planering av European Spallation Source vid Lunds universitet.,0
42,Högst 6 600 000 kronor får användas för utveckling av den vetenskapliga grunden för officersutbildning på grundnivå.,0
43,"Jordbruksverket får fördela medel som bidrag till Länsstyrelserna i Jämtlands, Västerbottens och Norrbottens län.",0
44," till insatser för att främja utgivning och distribution av nationella minoriteters litteratur och kulturtidskrifter,  .",0
45,"Antal elevplatser 2010Tilläggsbidrag (kr)Göteborgs kommun4615 027 000Kristianstads kommun4715 354 000Stockholms kommun3712 087 000Umeå kommun248 542 000             Medlen ska vidare användas för ersättning till Örebro kommun enlig 6 § avtalet mellan staten och Örebro kommun om gymnasial utbildning i Örebro för döva och hörselskadade samt dövblinda ungdomar från hela landet, där elevantal och totalt verksamhetsstöd för 2010 ska uppgå till 450 elever respektive 114 796 000 kronor,   .",0
46,Anslagsbeloppet får användas till särskilt anställningsstöd enligt 3 § förordningen (1997:1275) om anställningsstöd.,0
47,Anslagsposten får användas för eventuella slutjusteringar av den statliga medfinansieringen av åtgärd 3.1 Kompetensutveckling för anställda och åtgärd 3.4 Lokal utveckling i mål 1.,0
48,"Inbetalade medel från Europeiska socialfonden redovisas mot inkomsttitel 6412, Bidrag från EG:s socialfond perioden 2000–2006, undertitel 04 Mål 2: Region Norra.",1
49,Anslagsposten avser extra ersättning till kommuner 2007-2009 enligt förordningen (2007:662) om extra ersättning till kommuner 2007-2009 för att påskynda utlänningars etablering på arbetsmarknaden.,0
50,Högst 500 000 kronor får användas för att genomföra en nationell utvärdering av receptföreskriven fysisk aktivitet i enlighet med regeringsbeslut den 29 april 2008.,0
51,Delen som avser administration får högst uppgå till 4 000 000 kronor.,0
52,Högst 300 000 000 kronor får användas för insatser avseende konfliktrelaterad verksamhet.,0
53,Till affärsverken betalas bidragen ut till det konto som respektive affärsverk lämnat uppgift om i den skriftliga överenskommelsen med Myndigheten för samhällsskydd och beredskap.,1
54,Förvaltararvoden m.m. i konkurser,0
55,Stödet får högst motsvara 75 procent av den enskilde lantbrukarens faktiska kostnader och det maximala stödbelopp som en enskild lantbrukare under ett år kan erhålla får uppgå till högst 50 000 kronor.,1
56,Av anslaget får 2 000 000 kronor användas till matlandetambassadörerna för att ersätta dem för de aktiviteter de deltar i. Matlandetambassadörerna ska lämna kostnadsräkning för aktiviteterna.,0
57,Härav ska efter rekvisition utbetalas 500 000 kronor till Stiftelsen Biodynamiska forskningsinstitutet.,0
58,"För medlens användande gäller de allmänna villkor som anges i Standard conditions for contributions by the Swedish Government or the Government Offices of Sweden, Ministry of Foreign Affairs.",0
59,Stöd till kommersiell service,0
60,"Av anslagsposten ska 65 000 kronor finansiera det nationella samordningssekretariatet för digitalisering, digitalt bevarande och digital förmedling av kulturarvet.",0
61,Prognoserna ska kommenteras i förhållande  till föregående prognostillfälle och i förhållande till budgeten.,1
62,Användningen av medlen ska redovisas årligen i samband med att ordinarie statsbidrag redovisas.,1
63,"Högst 11 000 000 kronor avser Sveriges bidrag till den verksamhet i sekretariatet för FN:s internationella strategi för naturkatastrofförebyggande, ISDR, som avser utvecklingsländer.",0
64,Medlen utbetalas efter beslut av Regeringskansliet (Utrikesdepartementet om inte annat departement anges).,0
65,Särskild vikt ska läggas vid direkt och praktiskt arbete med konfliktlösning.,0
66,Anslaget används för riksdagsförvaltningens förvaltningskostnader samt bidrag till föreningar i riksdagen.,0
67,Dessa medel disponeras av Trafikverket.,0
68,Anslagsposten får användas till att utöka ekonomiska ramar för trafikslagsövergripande länsplaner för regional transportinfrastruktur. Högst 150 000 kronor av stödet får avsättas för ekonomisk uppföljning av driften på flygplatserna.,0
69,För utgifter i enlighet med Skolverkets uppdrag att förbereda inrättandet av den nya gymnasiesärskolan (U2011/7077/GV) får myndigheten belasta anslagsposten med högst 15 000 000 kronor.,0
70,Antalet elevplatser och tilläggsbidraget för respektive kommun 2012 anges nedan.,1
71,Minst 90 procent av beviljade bidrag ska avse produktionskostnader för sådan teknisk anpassning.,0
72,Anvisningar för avräkning av helårsstudenter och helårsprestationer finns i bilaga 1 till regleringsbrevet avseende universitet och högskolor.,1
73,"Anslagsposten disponeras för bilstöd till personer med funktionshinder enligt socialförsäkringsbalken, lagen (2010:111) om införande av socialförsäkringsbalken samt förordningen (1988:890) om bilstöd till personer med funktionshinder. 12 921 000 kronor till Handikapporganisationernas rekreationsanläggningar enligt bestämmelser i förordningen (1994:950) om statsbidrag till handikapporganisationernas rekreationsanläggningar.",0
74,"Anslagsposten disponeras för bilstöd till personer med funktionshinder enligt socialförsäkringsbalken, lagen (2010:111) om införande av socialförsäkringsbalken samt förordningen (1988:890) om bilstöd till personer med funktionshinder. 873 500 kronor till SRF i enlighet med regeringsbeslut II:3 från den 20 december 2011 för punktskriftsutbildning för vuxna.",0
75,Medlen utbetalas kvartalsvis i förskott utan särskild rekvisition.,1
76,Medel får ej användas för stipendier som är avsedda att vara ett alternativ till lön eller annan studiefinansiering för doktorander.,0
77, Av anslagsposten får högst 10 000 000 kronor användas med anledning av eventuella särskilda krav från EU-kommissionen på grund av att Tullverket underlåtit att iaktta skyldigheten att fastställa och betala in traditionella egna medel.,0
78, Från anslagsposten ska kostnaderna för en av regeringen utsedd tjänsteman stationerad vid Sveriges ständiga representation vid EU i Bryssel betalas.,0
79,Av dessa medel beräknas 3 500 000 kronor finansiera genomförandet av särskilda revitaliseringsinsatser för de nationella minoritetsspråken som riktar sig till enskilda och 400 000 kronor finansiera myndighetens kostnader för samordning av dessa insatser.,0
80,Anslaget ska i allt väsentligt disponeras för den statliga svenska andelen i det stöd som finansieras av Europeiska fiskerifonden (EFF) under anslaget 1:14 Från EU-budgeten finansierade stöd till fisket m.m.,0
81,Ekonomistyrningsverket ska i detta arbete samverka med Sveriges Kommuner och Landsting samt Kammarkollegiet inom arbetet Single Face to Industry.,0
82,Statens energimyndighet ska kunna använda och samverka med det gemensamma radiokommunikationssystemet Rakel.,0
83," utgifter för eget deltagande i EU:s program, och .",0
84,"För punkten 2 gäller förordningen (2003:564) om bidrag till åtgärder för en effektiv och miljöanpassad energiförsörjning i de delar som avser teknikupphandling såvitt avser åtgärder som främjar ny energieffektiv teknik och användning av befintliga energieffektiva produkter, samt förordningen (2008:761) om statligt stöd till forskning och utveckling samt innovation inom energiområdet i de delar som avser experimentell utveckling, inbegripet demonstrationsprojekt, inom energiområdet.",0
85,Tillväxtverket får lämna stöd till innovationskluster i enlighet med 20 § förordningen (2008:762) om statligt stöd till forskning och utveckling samt innovation.,0
86,Medlen under anslaget utbetalas av Myndigheten för tillgängliga medier i enlighet med taltidningsnämndens beslut.,1
87,Medlen ska utbetalas till respektive kommun under februari och november 2013 med hälften av bidraget vid varje tillfälle.,1
88,Från anslagsposten finansieras insatser i enlighet med förordningen (2008:62) om statsbidrag till verksamheter mot rasism och liknande former av intolerans.,0
89,"lokaler, drift och utrustning samt inköp av mat i vissa fall.",0
90,Deltagande i dessa insatser ska ske i samråd med Regeringskansliet (Justitiedepartementet och Utrikesdepartementet).,0
91,"Domstolsverket ska eftersträva att delta i andra insatser än EULEX Kosovo, alternativt med ytterligare personal till insatsen.",0
92, 27 § lagen (1973:188) om arrendenämnder och hyresnämnder .,2
93, 5 kap. 8 § rättegångsbalken .,2
94,Valmyndigheten får använda medlen för utgifter och kostnader i samband med förberedelser och genomförande av val samt därmed sammanhängande kostnader för uppföljning och utveckling.,0
95,Medlen används för att administrera delar av ett kommissionsprogram (Förvaltningspartnerskapet) som syftar till att öka kunskapen om och engagemanget för EU-frågor i Sverige.,0
96,"Anslagsposten får användas för att planera och genomföra undersökningarna Företagens användning av it och Privatpersoners användning av datorer och internet, som regleras av Europaparlamentets och rådets förordning (EG) nr 808/2004 av den 21 april 2004 om gemenskapsstatistik om informationssamhället.",0
97,"Anslagsposten får användas för åtgärder som genomförs i enlighet med förordningen (1997:1322) om bidrag till kommunal energi- och klimatrådgivning,  .",0
98,Statens energimyndighet ska avsätta minst 2 000 000 kronor till den utlandsbaserade verksamheten vid Myndigheten för tillväxtpolitiska utvärderingar och analyser (Tillväxtanalys). Medlen ska användas för uppdrag formulerade i dialog mellan Statens energimyndighet och Tillväxtanalys. Uppdragen ska stödja Statens energimyndighets verksamhet och mål och rymmas inom ramen för Tillväxtanalys verksamhet.,0
99,"Anslagsposten ska användas för bidrag till ideella miljöorganisationers arbete som bidrar till att uppfylla de nationella miljökvalitetsmål som riksdagen har beslutat om, eller något av de fyra prioriterade områdena i EU:s sjätte miljöhandlingsprogram.",0
100,5 000 000 kronor får användas för Sluta rökalinjens verksamhet.,0
101,"I enlighet med regeringsbeslut den 7 november 2013 (dnr Fi2013/3930 delvis) ska myndigheten, efter rekvisition från Statskontoret, utbetala högst 1 000 000 kronor.",0
102,Jordbruksverket ska kunna använda och samverka med det gemensamma radiokommunikationssystemet Rakel.,0
103,"Anslagsposten får användas för övervakning av miljötillstånd i den yttre miljön, inklusive viss internationell rapportering, samt till miljömålsuppföljning.",0
104,Livsmedelsverket och Statens jordbruksverk ska redovisa till Kemikalieinspektionen hur medlen har disponerats och hur de har bidragit till att minska handläggningstiderna.,1
105,Ersättning för vissa kreditförluster i stödområde B  I den omfattning kreditförluster uppstår för lån i stödområde B ska Tillväxtverket lämna ersättning upp till högst 10 000 000 kronor årligen avseende Almi Företagspartner AB (Almi) och 4 000 000 kronor årligen avseende Stiftelsen Norrlandsfonden.,0
106,"Mot den bakgrunden bör Statens kulturråd, vid beslut om årliga bidrag, göra preliminära bedömningar av i vilken utsträckning projekten kan komma i fråga för stöd under kommande år.",0
107,Uppsala universitet bemyndigas att under 2015 besluta om medlemskap i en kunskaps- och innovationsplattform inom hälsa (KIC Healthy living) under Europeiska institutet för innovation och teknik (EIT) och besluta om en årlig medlemsavgift på högst 675 000 kronor under 2015-2022.,0
108,I anslaget ingår medel för ett nätverk för Europaforskning i juridik.,0
109,I anslaget ingår 7 027 000 kronor för Centrum för idrottsforskning.,0
110,Anslagsposten avser ersättningar enligt 15-17 §§ förordningen (2010:1122) om statlig ersättning för insatser för vissa utlänningar.,0
111,"Anslagsposten får användas till utgifter för resor, traktamenten och övriga omkostnader för den personal som deltar i delegationsresor som syftar till sådan överföring samt .",0
112,I samband med dessa ska myndigheten inkomma till Regeringskansliet (Justitiedepartementet och Utrikesdepartementet) med en utförlig kommentar till prognosen innehållande en analys av prognosen i förhållande till föregående prognostillfälle och i förhållande till budgeten.,1
113,"Anslagsposten ska användas för att ställa svensk personal till förfogande för fredsfrämjande, säkerhetsfrämjande och konfliktförebyggande verksamhet, främst inom ramen för Förenta nationerna (FN), Europeiska unionen (EU) samt Organisationen för säkerhet och samarbete i Europa (OSSE).",0
114,Medlen ska utbetalas till Statens jordbruksverk efter rekvisition.,1
115,Av anslaget ska efter rekvisition 1 300 000 kronor utbetalas till Nordiskt Genresurscenter för hyreskostnader.,1
116,Från anslagsposten 3 får Trafikverket disponera medel för att täcka kostnader för överenskommelser syftande till att säkerställa att det finns ett nät av flygplatser som upprätthåller en grundläggande beredskap för att samhällsviktiga transporter ska kunna utföras.,0
117,Anslagsposten ska användas för ett nationellt nätverk för vindbruk.,0
118,Medlen betalas ut mot rekvisition.,1
119,"Anslagsposten ska användas enlig förordningen (2010:1058) om statsbidrag till litteratur, kulturtidskrifter och läsfrämjandeinsatser,   .",0
120,Av medlen får Boverket använda högst 1 170 000 kronor för administrativa kostnader.,0
121,Anslagsposten får användas för utgifter för graviditetspenning enligt socialförsäkringsbalken och lagen (2010:111) om införande av socialförsäkringsbalken.,0
122,Medlen disponeras av Vetenskapsrådet och ska användas för forskning inom ämnesområdet farmaci.,0
123,Medlen får utbetalas engångsvis.,1
124,Anslagsposten ska användas för att driva den nationella kontaktpunkten Open Trade Gate Sweden samt för att bedriva handelsrelaterat utvecklingssamarbete i enlighet med myndighetens uppdrag såsom det framgår av förordningen (2012:990) med instruktion för Kommerskollegium.,0
125,Medlen får endast användas i enlighet med OECD:s biståndskommitté DAC:s riktlinjer för vad som kan klassificeras som bistånd.,0
126,EU:s insats i Bosnien och Hercegovina (ALTHEA).,2
127,Utgifter för tolk m.m.,0
128,Från anslaget får avräkna ersättning till biträden till den del ersättningen inte täcks av den rättshjälpsavgift som den rättssökande ska betala enligt 23 § rättshjälpslagen (1996:1619) .,0
129,"Uppdragen ska samordnas och Tillväxtverket ska senast den 28 februari 2018 redovisa genomförandet av uppdragen till Regeringskansliet (Utrikesdepartementet, enheten för främjande och EU:s inre marknad).",0
130,"Anslagsposten får användas till informations-, rådgivnings- och utbildningsinsatser samt till bidrag enligt förordningen (2010:1879) om stöd till vissa åtgärder inom skogsbruket.",0
131,Kronofogdemyndigheten får använda medel från anslagsposten för administrationsutgifter till följd av trängselskatten i Stockholm.,0
132,"Därtill får myndigheten genomföra en satsning på kommersialisering och utveckling av teknik för energilagring, exempelvis genom genomförande av innovationsupphandlingar.",0
133,"för utvärdering av stödet. Minst 1 400 000 kronor ska användas för insatser som har bäring på miljön i Ryssland inom Barents Euro-Arktiska råd, Östersjöstaternas råd och Arktiska rådet.",0
134,Anslagsposten ska användas för organisationsbidrag till Svenska Hemslöjdsföreningars riksförbund.,0
135,Myndigheten får belasta anslagsposten med högst 2 300 000 kronor för stöd för särskilt anordnad utbildning för ungdomar med svår synskada vilka efter grundskolan behöver ett s.k. mellanår före starten av gymnasial utbildning.,0
136,Medlen ska finansiera vissa kostnader för ersättning till smittbärare och för andra ingripanden för att förhindra spridning av en smittsam sjukdom.,0
137,Anslaget får användas för utgifter vid Läkemedelsverket för utökade ansvarsområden som ålagts Läkemedelsverket efter apoteksomregleringen.,0
138,"Anslaget får användas för utgifter vid Läkemedelsverket för utökade ansvarsområden till följd av ny lagstiftning på EU-nivå inom områden för kosmetika, medicinteknik och avancerade terapier, samt  .",0
139,Av medlen får följande stöd för 2017 utbetalas till nedanstående organisationer efter rekvisition.,0
140,Totalt får högst 500 000 kronor av medlen även disponeras för projekt i Västra Götalands och Värmlands län.,0
141,"Medlen ska användas för kostnader i samband med deltagande i standardiseringsarbete, t.ex. projektavgifter till standardiseringsorgan.",0
142,Utbetalning ska ske i februari 2018.,1
143,3 000 000 kronor har tilldelats Socialstyrelsen i regleringsbrev för budgetåret 2018 avseende Socialstyrelsen för att ta fram ett kodverk för kontaktorsak och att följa patientens väg i vården genom så kallat process-id inom ramen för patientmiljarden.,0
144,**FN:s insats i Centralafrikanska republiken (MINUSCA)**,2
145,Länsstyrelsen i Skåne län ska med 6 400 000 kronor finansiera förvaltningskostnader hos Skåne läns landsting.,0
146,EU-medlen avseende övrig intervention ska redovisas mot inkomsttitel 6113 Övriga interventioner.,0
147,EU-medlen avseende offentlig lagring ska redovisas mot inkomsttitel 6116 Offentlig lagring.,0
148,"Jordbruksverket får fördela medel som bidrag till länsstyrelserna i Dalarnas, Västra Götalands och Värmlands län.",0
149,Från delposten får Trafikverket disponera medel för att betala statens kostnader för sådana förrättningar som begärts enligt 2 kap. 20 § lagen (1995:1649) om byggande av järnväg.,0
150,Anslagsposten ska användas för utbetalning av bidrag till fysiska och juridiska personer som har förvärvat en ny klimatbonusbil.,0
151,Antalet elevplatser och tilläggsbidraget för respektive kommun 2019 anges nedan.,1
152,Karolinska institutet bemyndigas med anledning av medlemskap i Cancer Core Europe att besluta om en medlemsavgift på högst 600 000 kronor per år under 2017–2021.,0
153,"Anslagsposten får användas för utgifter i enlighet med förordningen (2008:349) om statsbidrag till organisationer för homosexuella, bisexuella, transsexuella eller personer med könsöverskridande identitet eller uttryck.",0
154,Medlen får endast användas i enlighet med OECD:s biståndskommitté DAC:s riktlinjer för vad som kan klassificeras som bistånd.,0
155,Medlen ska betalas ut till Kustbevakningen efter rekvisition.,1
156,"Anslagsposten får användas i enlighet med bestämmelser som regeringen meddelar i varje enskilt fall samt för ersättning enligt epizootilagen (1999:657), zoonoslagen (1999:658) och lagen (2006:806) om provtagning på djur, m.m. eller med stöd av lagarna meddelade föreskrifter.",0
157,Avträdesersättningar beräknas med motsvarande tillämpning av punkterna 1–5 i regeringens beslut (Industridepartementet) den 26 juni 1980 angående upplåtelsevillkor för kronotorp m.m.,1
158,Trafikverket ska avräkna eventuellt infriande av betalningsutfästelse avseende villkorade aktieägartillskott som Trafikverket ställt ut till Svedab.,0
159,– Posttjänster och elektroniska kommunikationstjänster som bedöms vara av särskild vikt för personer med funktionsnedsättning och personer med speciella behov.,2
160,Detta ska ske i enlighet med förordningen (2018:20) om stöd för åtgärder som ger tillgång till telefoni och funktionell tillgång till internet.,0
161,"Anslagsposten får användas för övervakning av miljötillstånd i den yttre miljön, inklusive viss internationell rapportering, samt till miljömålsuppföljning.",0
162,Länsstyrelsen i Örebro län fördelar medlen till samtliga länsstyrelser.,1
163,Av medlen får högst 6 000 000 kronor användas för administration.,0
164,Tekniska högskolan bemyndigas att under 2018–2022 besluta om en årlig medlemsavgift på högst 1 200 000 kronor till EIT Raw Materials (i enlighet med beslut om höständringsbudget 2018).,0
165,Medlen får användas efter beslut av regeringen.,1
166,**FN:s stabiliseringsinsats i Mali (MINUSMA)**,2
167,Medel ska användas för att täcka utgifter inom Regeringskansliet (Finansdepartementet) för krisövningar inom ramen för Nordic Baltic Stability Group (NBSG) avseende den finansiella sektorn.,0
168,Från anslaget ska utbetalas 2 500 000 kronor till Fritidsodlingens Riksorganisation för informations- och rådgivningsverksamhet samt minst 750 000 kronor till Stiftelsen Trädgårdsodlingens elitplantstation.,0
169,Av anslaget ska minst 3 715 000 kronor användas för tilläggsutbildning för utländska veterinärer.,0
170,"Anslagsposten får användas för utgifter för insatser som bidrar till att förverkliga målet för digitaliseringspolitiken, liksom uppföljningar och utvärderingar av politiken.",0
171,"Medel från delposten får även medfinansiera insatser inom ramen för regionalfondsprogram för investeringar i tillväxt och sysselsättning och Fonden för en rättvis omställning 2021–2027, inkl. tekniskt stöd för strukturfondspartnerskapen.",0
172,Av anslagspostens medel fördelas 1 000 000 kronor efter beslut av regeringen.,0
173,Medlen får användas för bidrag för verksamhetsutveckling i enlighet med förordningen (2016:1367) om statsbidrag till allmänna samlingslokaler.,0
174,Anvisningar för avräkning av helårsstudenter och helårsprestationer finns i bilaga 1 till regleringsbrevet avseende universitet och högskolor.,1
175,Anslagsposten får användas för korta kurser som riktar sig till personermed tidigare arbetslivserfarenhet.,0
176,"Anslagsposten får användas för kostnader när det gäller regionens medverkan i grundutbildning av tandläkare (TUA-ersättning) i enlighet med det avtal som i augusti 2004 slutits mellan staten och vissa landsting om samarbete om grundutbildning av tandläkare, odontologisk forskning och utveckling av tandvården (TUA-avtalet) kompletterat med regionala avtal mellan respektive landsting och universitet.",0
177,Medlen ska användas för stipendier för studier vid College of Europe.,0
178,Avser preliminär statlig ålderspensionsavgift för 2021 om 3 274 263 383  kronor och ett regleringsbelopp för 2018 om -119 263 383  kronor.,1
179,Medlen ska betalas ut med en tolftedel per månad.,1
180,"Anslagsposten får användas för Valmyndighetens utgifter och kostnader i samband med förberedelser och genomförande av val, eventuellt extra val och omval samt därmed sammanhängande kostnader för uppföljning och utveckling.",0
181,Anslagsposten ska finansiera nedanstående satsning i enlighet med vad som presenteras i forsknings- och innovationspropositionen 2020 (prop. 2020/21:60) och budgetpropositionen för 2021 (prop. 2020/21:1).,0
182,Anslagsposten får användas för Swedacs förvaltningsutgifter.,0
183,Medel som kvarstår efter den 1 oktober får lämnas som bidrag för att förebygga skador orsakade av säl och för att ersätta inträffade sådana skador i enlighet med punkt 1. Anslagsposten får användas till smittskyddsberedskapsuppgifter med anledning av epizootilagen och zoonoslagen och lagen om provtagning på djur.,0
184,Av anslaget ska 1 177 000 kronor utbetalas till Kungl. Skogs- och Lantbruksakademien för akademiens verksamhet.,0
185,Anslagsposten får användas för utgifter för forsknings- och utvecklingsinsatser.,0
186,Anslagsposten ska användas för långtidsstipendier enligt förordningen (2019:1269) om statsbidrag till konstnärer.,0
187,"Universitetet ska senast i årsredovisningen lämna uppgifter till Regeringskansliet (Utbildningsdepartementet) om hur TUA-ersättningen har fördelats under 2022 när det gäller lokalkostnader, lönekostnader och övriga kostnader.",1
188,Jämställdhetsmyndigheten har i regleringsbrevet för 2022 tilldelats 1 000 000 kronor för fortsatt uppdrag om Pekingplattformen inom ramen för Generation Equality.,0
189,Jämställdhetsmyndigheten får använda 3 000 000 kronor för att med utgångspunkt i regeringsbeslut A2019/01517 fortsätta arbetet med ökad upptäckt av våld m.m. Jämställdhetsmyndigheten får lämna högst 1 000 000 kronor i bidrag till Nationella Nätverket för Samordningsförbund (NNS).,0
190,"Vid behov kan även sjukvårdspersonal, god man eller annan person fungera som beledsagare, och reskostnader och kostnader för resehandlingar för dessa, kan då belasta anslagsposten.",0
191,"Myndigheten för samhällsskydd och beredskap sänder ut experter inom olika områden, t.ex. sjukvård, säkerhet, HR, logistik, IT och kommunikation, minröjning, miljö och samordning.",1
